Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DEP,Cumulative_Pct
954,0.0,10.01153039832285,2.0,20.0,561,34.49,34.49
879,2.0,3.2070534698521045,5.0,7.0,54,31.78,66.27
369,1.0,4.403794037940379,3.0,3.0,85,13.34,79.61
326,0.0,2.2300613496932513,0.0,3.0,335,11.79,91.4
118,1.0,1.5932203389830508,2.0,4.0,24,4.27,95.67
43,0.0,1.0930232558139534,1.0,3.0,16,1.55,97.22
35,3.0,17.314285714285713,11.5,73.2,81,1.27,98.49
21,0.0,1.6666666666666667,0.0,0.0,35,0.76,99.25
11,0.0,0.09090909090909091,0.0,0.0,1,0.4,99.65
9,0.0,0.1111111111111111,0.0,0.20000000000000018,1,0.33,99.98
1,0.0,0.0,0.0,0.0,0,0.04,100.02
