Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DOHMH,Cumulative_Pct
450,0.0,0.6577777777777778,0.0,2.0,28,36.38,36.38
199,60.0,41.27638190954774,60.0,60.0,60,16.09,52.47
132,0.0,0.7803030303030303,0.0,2.0,48,10.67,63.14
128,60.0,52.234375,60.0,60.0,60,10.35,73.49
84,60.0,53.976190476190474,60.0,60.0,60,6.79,80.28
67,8.0,22.313432835820894,58.0,60.0,60,5.42,85.7
53,2.0,6.716981132075472,11.0,17.800000000000004,54,4.28,89.98
29,0.0,0.5862068965517241,0.0,1.1999999999999993,9,2.34,92.32
26,0.0,0.4230769230769231,0.75,1.5,3,2.1,94.42
15,3.0,4.266666666666667,6.0,7.0,9,1.21,95.63
12,0.0,0.0,0.0,0.0,0,0.97,96.6
10,7.5,10.1,12.25,15.79999999999999,41,0.81,97.41
7,3.0,18.0,4.5,48.60000000000004,114,0.57,97.98
6,23.5,17.666666666666668,26.5,29.5,32,0.49,98.47
4,0.0,0.25,0.25,0.7000000000000002,1,0.32,98.79
4,4.5,4.25,5.5,6.4,7,0.32,99.11
3,0.0,0.0,0.0,0.0,0,0.24,99.35
2,1.5,1.5,1.75,1.9,2,0.16,99.51
2,0.0,0.0,0.0,0.0,0,0.16,99.67
2,19.5,19.5,25.25,28.7,31,0.16,99.83
1,0.0,0.0,0.0,0.0,0,0.08,99.91
1,4.0,4.0,4.0,4.0,4,0.08,99.99
